validation_position,original_dataset_index,true_index,true_class,predicted_index,predicted_class,confidence,correct
2885,31563,8,ship,0,airplane,0.9997287392616272,False
1923,22714,8,ship,9,truck,0.9952876567840576,False
2018,34042,3,cat,0,airplane,0.9877328872680664,False
2409,29230,1,automobile,9,truck,0.9827902317047119,False
733,4821,0,airplane,9,truck,0.9816287755966187,False
898,27468,4,deer,7,horse,0.9750716686248779,False
486,6264,9,truck,8,ship,0.9732530117034912,False
3280,4383,8,ship,0,airplane,0.9684299230575562,False
2515,15734,4,deer,0,airplane,0.9608250260353088,False
4135,29231,1,automobile,0,airplane,0.960576057434082,False
3062,13694,8,ship,1,automobile,0.9591274261474609,False
1497,46717,1,automobile,0,airplane,0.9524384140968323,False
3921,35157,2,bird,5,dog,0.9504309296607971,False
2259,42498,1,automobile,9,truck,0.9482031464576721,False
4070,23591,4,deer,7,horse,0.9469336867332458,False
1907,26952,9,truck,1,automobile,0.9439917206764221,False
49,47078,9,truck,1,automobile,0.943913459777832,False
1845,39112,2,bird,0,airplane,0.9425600171089172,False
3864,40515,2,bird,0,airplane,0.9414139986038208,False
2771,24162,9,truck,1,automobile,0.9407914876937866,False
3258,32585,4,deer,0,airplane,0.937446653842926,False
3010,1705,2,bird,0,airplane,0.9369866251945496,False
3711,7127,9,truck,0,airplane,0.9331560134887695,False
4860,16783,2,bird,5,dog,0.9325414896011353,False
4057,24467,2,bird,8,ship,0.9308906197547913,False
2928,23722,9,truck,1,automobile,0.9278929829597473,False
1758,4062,6,frog,1,automobile,0.9253912568092346,False
4606,20996,2,bird,0,airplane,0.9236627221107483,False
2940,46445,8,ship,0,airplane,0.923322856426239,False
4811,3494,4,deer,0,airplane,0.9229550361633301,False
4682,22035,2,bird,0,airplane,0.9220317602157593,False
2361,26657,3,cat,6,frog,0.9216512441635132,False
1810,6819,1,automobile,9,truck,0.9194760322570801,False
4511,34737,4,deer,7,horse,0.9173045754432678,False
1573,25555,5,dog,1,automobile,0.9153447151184082,False
4833,8999,9,truck,0,airplane,0.9139806032180786,False
1651,41980,8,ship,0,airplane,0.9112577438354492,False
4782,13940,1,automobile,9,truck,0.9104188084602356,False
4649,43618,1,automobile,0,airplane,0.9056223034858704,False
4126,18665,6,frog,3,cat,0.9046958684921265,False
3135,35489,8,ship,1,automobile,0.9041393995285034,False
1037,8650,9,truck,1,automobile,0.9038817286491394,False
3072,48737,8,ship,0,airplane,0.902395486831665,False
978,23497,8,ship,0,airplane,0.8988160490989685,False
2493,47252,2,bird,5,dog,0.898367702960968,False
2478,19579,2,bird,1,automobile,0.8967640399932861,False
2657,32304,3,cat,5,dog,0.8933668732643127,False
3543,27272,1,automobile,9,truck,0.8928114175796509,False
490,40891,3,cat,8,ship,0.8922624588012695,False
2318,8785,8,ship,9,truck,0.8922075629234314,False
